game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
Y8fqQKuQ,2,c5,Pawn,e5,-13,Good,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,42,29
Y8fqQKuQ,4,d5,Pawn,d5,4,Good,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,28,32
Y8fqQKuQ,6,dxe4,Pawn,dxe4,-5,Good,rnbqkbnr/pp2pppp/8/2pp4/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,-72,-77
Y8fqQKuQ,8,cxd4,Pawn,Nf6,6,Good,rnbqkbnr/pp2pppp/8/2p5/3Pp3/2P5/PP1N1PPP/R1BQKBNR b KQkq - 1 4,-44,-38
Y8fqQKuQ,10,Nc6,Knight,Nc6,12,Good,rnbqkbnr/pp2pppp/8/8/3pN3/2P5/PP3PPP/R1BQKBNR b KQkq - 0 5,-43,-31
Y8fqQKuQ,12,Qxd4,Queen,Qxd4,-2,Good,r1bqkbnr/pp2pppp/2n5/8/3PN3/8/PP3PPP/R1BQKBNR b KQkq - 0 6,-78,-80
Y8fqQKuQ,14,Nxd4,Knight,Nxd4,-13,Good,r1b1kbnr/pp2pppp/2n5/8/3QN3/8/PP3PPP/R1B1KBNR b KQkq - 0 7,-105,-118
Y8fqQKuQ,16,e5,Pawn,e5,-15,Good,r1b1kbnr/pp2pppp/8/8/3nN3/3B4/PP3PPP/R1B1K1NR b KQkq - 1 8,-102,-117
Y8fqQKuQ,18,Bb4+,Bishop,Nxf3+,29,Good,r1b1kbnr/pp3ppp/8/4p3/3nN3/3B1N2/PP3PPP/R1B1K2R b KQkq - 1 9,-116,-87
Y8fqQKuQ,20,Nxf3+,Knight,Nxf3+,-4,Good,r1b1k1nr/pp3ppp/8/4p3/1b1nN3/3B1N2/PP1B1PPP/R3K2R b KQkq - 3 10,-64,-68
Y8fqQKuQ,22,Bxd2+,Bishop,Bxd2+,14,Good,r1b1k1nr/pp3ppp/8/4p3/1b2N3/3B1P2/PP1B1P1P/R3K2R b KQkq - 0 11,-83,-69
Y8fqQKuQ,24,Nf6,Knight,Be6,45,Inaccuracy,r1b1k1nr/pp3ppp/8/4p3/8/3B1P2/PP1N1P1P/R3K2R b KQkq - 0 12,-172,-127
Y8fqQKuQ,26,Be6,Bishop,Ke7,120,Mistake,r1b1k2r/pp3ppp/5n2/4p3/4N3/3B1P2/PP3P1P/R3K2R b KQkq - 2 13,-257,-137
Y8fqQKuQ,28,Ke7,King,Ke7,2,Good,r3k2r/pp3ppp/4bn2/1B2p3/4N3/5P2/PP3P1P/R3K2R b KQkq - 4 14,-282,-280
Y8fqQKuQ,30,Kxf6,King,Kxf6,5,Good,r6r/pp2kppp/4bN2/1B2p3/8/5P2/PP3P1P/R3K2R b KQ - 0 15,-315,-310
Y8fqQKuQ,32,Rac8+,Rook,Bxa2,27,Good,r6r/pp3ppp/4bk2/1B2p3/8/5P2/PP3P1P/2KR3R b - - 1 16,-423,-396
Y8fqQKuQ,34,Rhd8,Rook,Rhd8,-15,Good,2r4r/pp3ppp/4bk2/1B2p3/8/5P2/PP3P1P/1K1R3R b - - 3 17,-425,-440
Y8fqQKuQ,36,Rxd8,Rook,Rxd8,1,Good,2rR4/pp3ppp/4bk2/1B2p3/8/5P2/PP3P1P/1K5R b - - 0 18,-448,-447
Y8fqQKuQ,38,Rd2,Rook,Bf5+,39,Inaccuracy,3r4/pp3ppp/4bk2/1B2p3/8/5P2/PP3P1P/1KR5 b - - 1 19,-409,-370
Y8fqQKuQ,40,Rd1+,Rook,Rd1+,-1,Good,8/pp3ppp/4bk2/1B2p3/8/5P2/PPRr1P1P/1K6 b - - 3 20,-9996,-9997
Y8fqQKuQ,42,Bf5+,Bishop,Bf5+,-1,Good,8/pp3ppp/4bk2/1B2p3/8/5P2/PP3P1P/1KRr4 b - - 5 21,-9997,-9998
Y8fqQKuQ,44,Bxd3+,Bishop,Bxd3+,-1,Good,8/pp3ppp/5k2/4pb2/8/3B1P2/PP3P1P/1KRr4 b - - 7 22,-9998,-9999
Y8fqQKuQ,46,Rxc1#,Rook,Rxc1#,-1,Good,8/pp3ppp/5k2/4p3/8/3b1P2/PP3P1P/K1Rr4 b - - 1 23,-9999,-10000
c0egJi55,2,e6,Pawn,c5,13,Good,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27,40
c0egJi55,4,d5,Pawn,d5,7,Good,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,38,45
c0egJi55,6,c5,Pawn,c5,-5,Good,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,27,22
c0egJi55,8,cxd4,Pawn,cxd4,6,Good,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 4,25,31
c0egJi55,10,Nc6,Knight,Nc6,4,Good,rnbqkbnr/pp3ppp/4p3/3p4/3NP3/8/PPPN1PPP/R1BQKB1R b KQkq - 0 5,13,17
c0egJi55,12,Bd7,Bishop,Bd7,11,Good,r1bqkbnr/pp3ppp/2n1p3/1B1p4/3NP3/8/PPPN1PPP/R1BQK2R b KQkq - 2 6,6,17
c0egJi55,14,bxc6,Pawn,bxc6,14,Good,r2qkbnr/pp1b1ppp/2N1p3/1B1p4/4P3/8/PPPN1PPP/R1BQK2R b KQkq - 0 7,8,22
c0egJi55,16,Bd6,Bishop,Qc7,-5,Good,r2qkbnr/p2b1ppp/2p1p3/3p4/4P3/3B4/PPPN1PPP/R1BQK2R b KQkq - 1 8,31,26
